,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
[1] Energía,444504.9014,21170.54218,2216.930109,,,,,,,,,,,,,,,,,,,,,,,,,467892.3737,,,54.96371047
[1A] Actividades de quema del combustible,432110.2708,2821.764602,2182.895974,,,,,,,,,,,,,,,,,,,,,,,,,437114.9314,,,48.86046198
[1A1] Industrias de la energía,202816.9183,173.9655451,303.316786,,,,,,,,,,,,,,,,,,,,,,,,,203294.2007,,,8.039950561
[1A1a] Actividad principal producción de electricidad y calor,170956.1199,157.2357873,284.030707,,,,,,,,,,,,,,,,,,,,,,,,,171397.3864,,,7.280404748
[1A1b] Refinación del petróleo,10238.67797,6.498650889,8.833485211,,,,,,,,,,,,,,,,,,,,,,,,,10254.0101,,,0.683294114
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,21622.12042,10.23110688,10.45259383,,,,,,,,,,,,,,,,,,,,,,,,,21642.80412,,,0.076251699
[1A2] Industrias manufactura y de la construcción,51303.05353,77.6966998,106.5307069,,,,,,,,,,,,,,,,,,,,,,,,,51487.28094,,,0.662997254
[1A2a] Hierro y acero,5689.028972,2.827496,2.793842,,,,,,,,,,,,,,,,,,,,,,,,,5694.65031,,,0.019361058
[1A2b] Metales no ferrosos,1854.60332,1.293936,1.919925,,,,,,,,,,,,,,,,,,,,,,,,,1857.817181,,,0.013358033
[1A2c] Sustancias químicas,7673.196435,4.05748,4.4577505,,,,,,,,,,,,,,,,,,,,,,,,,7681.711665,,,0.0288241
"[1A2d] Pulpa, papel e imprenta",2574.743762,1.508836,1.877896,,,,,,,,,,,,,,,,,,,,,,,,,2578.130494,,,0.024219895
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",2022.020413,29.139292,36.803836,,,,,,,,,,,,,,,,,,,,,,,,,2087.963541,,,0.371972233
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
