,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,"Carbono negro
(Gg)"
[1] Energía,"352,617.358","27,077.324","3,305.396",,,,,,,,,,,,,,,,,,,,,,,,,"383,000.078",,,
[1A] Actividades de quema del combustible,"332,949.063","3,100.750","3,272.178",,,,,,,,,,,,,,,,,,,,,,,,,"339,321.990",,,
[1A1] Industrias de la energía,"138,687.864",142.293,293.389,,,,,,,,,,,,,,,,,,,,,,,,,"139,123.547",,,
[1A1a] Actividad principal producción de electricidad y calor,"106,336.324",119.227,257.973,,,,,,,,,,,,,,,,,,,,,,,,,"106,713.524",,,
[1A1b] Refinación del petróleo,"11,587.266",10.148,17.524,,,,,,,,,,,,,,,,,,,,,,,,,"11,614.938",,,1.817
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"20,764.274",12.918,17.892,,,,,,,,,,,,,,,,,,,,,,,,,"20,795.084",,,0.233
[1A2] Industrias manufactura y de la construcción,"53,367.609",82.516,116.681,,,,,,,,,,,,,,,,,,,,,,,,,"53,566.807",,,1.616
[1A2a] Hierro y acero,"4,773.225",3.321,4.901,,,,,,,,,,,,,,,,,,,,,,,,,"4,781.447",,,0.099
[1A2b] Metales no ferrosos,"2,960.868",1.909,2.635,,,,,,,,,,,,,,,,,,,,,,,,,"2,965.412",,,0.032
[1A2c] Sustancias químicas,"16,468.899",10.420,14.130,,,,,,,,,,,,,,,,,,,,,,,,,"16,493.448",,,0.234
"[1A2d] Pulpa, papel e imprenta","2,689.561",2.102,3.363,,,,,,,,,,,,,,,,,,,,,,,,,"2,695.025",,,0.061
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","4,347.932",4.147,7.479,,,,,,,,,,,,,,,,,,,,,,,,,"4,359.558",,,0.182
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,442.157,0.218,0.231,,,,,,,,,,,,,,,,,,,,,,,,,442.606,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"7,894.815",7.593,14.013,,,,,,,,,,,,,,,,,,,,,,,,,"7,916.420",,,0.194
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,408.037,0.470,0.891,,,,,,,,,,,,,,,,,,,,,,,,,409.398,,,0.002
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"13,382.115",52.337,69.040,,,,,,,,,,,,,,,,,,,,,,,,,"13,503.492",,,0.811
[1A3] Transporte,"110,279.032",417.047,"2,537.998",,,,,,,,,,,,,,,,,,,,,,,,,"113,234.078",,,21.713
[1A3a] Aviación civil,"5,498.660",1.060,40.135,,,,,,,,,,,,,,,,,,,,,,,,,"5,539.855",,,0.078
[1A3b] Autotransporte,"99,489.794",403.648,"2,305.631",,,,,,,,,,,,,,,,,,,,,,,,,"102,199.073",,,21.328
[1A3c] Ferrocarriles,"1,593.101",2.541,165.738,,,,,,,,,,,,,,,,,,,,,,,,,"1,761.379",,,0.038
[1A3d] Navegación marítima y fluvial,"3,697.477",9.798,26.495,,,,,,,,,,,,,,,,,,,,,,,,,"3,733.771",,,0.270
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"30,614.557","2,458.892",324.110,,,,,,,,,,,,,,,,,,,,,,,,,"33,397.559",,,35.652
[1A4a] Comercial/institucional,"4,357.440",9.919,2.252,,,,,,,,,,,,,,,,,,,,,,,,,"4,369.611",,,2.135
[1A4b] Residencial,"19,905.333","2,425.494",308.974,,,,,,,,,,,,,,,,,,,,,,,,,"22,639.801",,,33.158
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"6,351.784",23.480,12.884,,,,,,,,,,,,,,,,,,,,,,,,,"6,388.148",,,0.359
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"19,668.295","23,976.575",33.218,,,,,,,,,,,,,,,,,,,,,,,,,"43,678.087",,,7.564
[1B1] Combustibles sólidos,90.758,"3,192.227",,,,,,,,,,,,,,,,,,,,,,,,,,"3,282.985",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,90.758,"3,192.227",,,,,,,,,,,,,,,,,,,,,,,,,,"3,282.985",,,0.000
