Year,[1] Energía,[1A] Actividades de quema del combustible,[1A1] Industrias de la energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1b] Refinación del petróleo,[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,[1A2] Industrias manufactura y de la construcción,[1A2a] Hierro y acero,[1A2b] Metales no ferrosos,[1A2c] Sustancias químicas,"[1A2d] Pulpa, papel e imprenta","[1A2e] Procesamiento de alimentos, bebidas y tabaco",[1A2f] Minerales no metálicos,[1A2g] Equipo de transporte,[1A2h] Maquinaria,[1A2i] Minería (con excepción de combustibles) y cantería,[1A2j] Madera y productos de la madera,[1A2k] Construcción,[1A2l] Textiles y cueros,[1A2m] Industria no especificada,[1A3] Transporte,[1A3a] Aviación civil,[1A3b] Autotransporte,[1A3c] Ferrocarriles,[1A3d] Navegación marítima y fluvial,[1A3e] Otro transporte,[1A4] Otros sectores,[1A4a] Comercial/institucional,[1A4b] Residencial,[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B1] Combustibles sólidos,[1B1a] Minería carbonífera y manejo del carbón,[1B1ai] Minas subterráneas,[1B1aii] Minas superficie,[1B1b] Combustión espontánea y vertederos para quema de carbón,[1B2] Petróleo y gas natural,[1B2a] Petróleo,1B2ai Venteo petróleo,1B2aii Quemado petróleo,1B2aiii Otras fugitivas petróleo,[1B2b] Gas natural,1B2bi Venteo gas natural,1B2bii Quemado gas natural,1B2biii Otras fugitivas gas natural,[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A1] Producción de cemento,[2A2] Producción de cal,[2A3] Producción de vidrio,[2A4] Otros usos de carbonatos,[2A5] Otros,[2B] Industria química,[2B1] Producción de amoniaco,[2B2] Producción de ácido nítrico,[2B3] Producción de ácido adípico,"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",[2B5] Producción de carburo,[2B6] Producción de dióxido de titanio,[2B7] Producción de ceniza de sosa,[2B8] Producción petroquímica y negro de humo,[2B9] Producción fluoroquímica,[2B10] Otros,[2C] Industria de los metales,[2C1] Producción de hierro y acero,[2C2] Producción de ferroaleaciones,[2C3] Producción de aluminio,[2C4] Producción de magnesio,[2C5] Producción de plomo,[2C6] Producción de zinc,[2C7] Otros,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D1] Uso de lubricantes,[2D2] Uso de la cera de parafina,[2D3] Uso de solventes,[2D4] Otros,[2E] Industria electrónica,[2E1] Circuitos integrados o semiconductores,[2E2] Pantalla plana tipo TFT,[2E3] Células fotovoltaicas,[2E4] Fluido de transferencia térmica,[2E5] Otros,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,[2F1] Refrigeración y aire acondicionado,[2F2] Agentes espumantes,[2F3] Protección contra incendios,[2F4] Aerosoles,[2F5] Solventes,[2F6] Otras aplicaciones,[2G] Manufactura y utilización de otros productos,[2G1] Equipos eléctricos,[2G2] SF6 y PFC de otros usos de productos,[2G3] N2O de usos de productos,[2G4] Otros,[2H] Otros,[2H1] Industria de la pulpa y el papel,[2H2] Industria de la alimentación y las bebidas,[2H3] Otros,"[3] Agricultura, silvicultura y otros usos de la tierra", [3A] Ganado,[3A1] Fermentación entérica,[3A1a] Bovino,[3A1b] Búfalos,[3A1c] Ovinos,[3A1d] Caprino,[3A1e] Camello,[3A1f] Caballos,[3A1g] Mulas y asnos,[3A1h] Porcinos,[3A1i] Otros  (especificar),[3A2] Gestión del estiércol,[3A2a] Bovinos,[3A2b] Búfalos,[3A2c] Ovinos,[3A2d] Caprino,[3A2e] Camello,[3A2f] Caballos,[3A2g] Mulas y asnos,[3A2h] Porcinos,[3A2i] Aves de corral,[3A2g] Otros  (especificar),[3B] Tierra,[3B1] Tierra forestales,[3B1a] Tierras forestales que permanecen como tal,[3B1b] Tierras convertidas a tierras forestales,[3B2] Tierra de cultivo,[3B2a] Tierras de cultivo que permanecen como tal,[3B2b] Tierras convertidas a tierras de cultivo,[3B3] Praderas,[3B3a] Praderas que permanecen como tal,[3B3b] Tierras convertidas en praderas,[3B4] Humedales,[3B4a] Humedales que permanecen como tal,[3B4b] Tierras convertidas en humedales,[3B5] Asentamientos ,[3B5a] Asentamientos que permanecen como tal,[3B5b] Tierras convertidas en asentamientos,[3B6] Otras tierras ,[3B6a] Otras tierras que permanecen como tal,[3B6b] Tierras convertidas en otras tierras,[3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,[3C1] Emisiones de GEI por quemado de biomasa,[3C1a] Emisiones de quemado de biomasa en tierras forestales,[3C1b] Emisiones de quemado de biomasa en tierras de cultivo,[3C1c] Emisiones de quemado de biomasa en tierras praderas,[3C1d] Emisiones de quemado de biomasa en otras tierras,[3C2] Encalado,[3C3] Aplicación de urea,[3C4] Emisiones directas de los N2O de los suelos gestionados,[3C5] Emisiones indirectas de los N2O de los suelos gestionados,[3C6] Emisiones indirectas de los N2O de la gestión del estiércol,[3C7] Cultivo del arroz,[3D] Otros,[3D1] Productos de madera recolectada,[3D2] Otros (especificar),[4] Residuos,[4A] Eliminación de residuos sólidos,[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),[4A2] Sitios no controlados de eliminación de residuos ,[4A3] Tiraderos a cielo abierto para eliminación de residuos,[4B] Tratamiento biológico de los residuos sólidos,[4C] Incineración y quema a cielo abierto  de residuos,[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,[4C2] Quema a cielo abierto de residuos sólidos,[4D] Tratamiento y eliminación de aguas residuales,[4D1] Tratamiento y eliminación de aguas residuales municipales,[4D2] Tratamiento y eliminación de aguas residuales industriales,[4E] Otros,Total
1990,15757.7142,2933.343959,92.05143577,62.74518207,11.13143796,18.17481575,101.7714942,3.683582,1.87628,10.401328,3.060512,4.072711328,,0.107072,,6.646388,,0.394212,,71.52940883,344.2969618,0.633598398,335.5867816,3.0966138,4.979968,,2395.224068,11.82342,2364.453468,18.94718,12824.37024,2402.028749,2402.028749,2304.013011,98.01573782,,10422.3415,8088.064626,5578.018497,2454.920485,55.12564417,2334.27687,991.861687,0.994376829,1341.420806,257.9535771,0,,,,,,257.9535771,,,,,,,,257.9535771,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,,91145.25307,90400.41507,74855.48774,70012.31708,,924.62,1363.24,,1513.520064,662.9518,378.8388035,,15544.92732,8692.023331,,10.85,15.63,,144.0321761,63.4428228,5967.501693,651.4472999,,0,0,,,0,,,0,,,0,,,0,,,0,,,744.838,486.688,0,486.688,0,,,,,,,258.15,,,,10679.49926,0,0,0,0,0.16128,801.9973273,0,801.9973273,9877.340649,4552.253721,5325.086928,,117840.4201
1991,16023.51449,2990.193435,94.45059834,64.18390815,8.525792774,21.74089741,110.1946779,3.494652,1.505,11.285428,2.332148,4.308472,,0.108108,,6.897352,,0.404292,,79.85922588,369.3977872,0.688421874,360.3530481,2.5919572,5.76436,,2416.150372,13.8341,2382.804892,19.51138,13033.32105,2258.051002,2258.051002,2165.910333,92.14066862,,10775.27005,8434.422798,5869.743116,2506.388277,58.29140511,2340.847253,1009.969157,1.018335375,1329.85976,259.6054482,0,,,,,,259.6054482,,,,,,,,259.6054482,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,91072.31417,90369.21617,75528.21677,70818.36191,,964.66,1313.14,,1463.915,637.304,330.8358617,,14840.9994,8810.643106,,11.31,15.07,,139.419,61.015,5136.769785,666.7725123,,0,0,,,0,,,0,,,0,,,0,,,0,,,703.098,463.598,0,463.598,0,,,,,,,239.5,,,,12037.43254,659.8032106,200.248005,42.59257932,416.9626263,0.6708035,831.2534642,0,831.2534642,10545.70506,4536.149305,6009.555757,,119392.8666
1992,16005.65055,3078.457997,92.13612799,62.7253162,8.623215997,20.78759579,104.7379393,2.589202,1.426544,10.771376,2.152864,4.474428,,0.094164,,7.22918,,0.434028,,75.56615332,373.3186682,0.787584605,366.6078138,2.6132218,3.310048,,2508.265262,15.71528,2472.875502,19.67448,12927.19256,2087.677334,2087.677334,2002.488831,85.1885034,,10839.51522,8529.15962,5936.134232,2534.637654,58.38773435,2310.355602,988.2682346,1.030037165,1321.05733,277.7826952,0,,,,,,277.7826952,,,,,,,,277.7826952,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,88280.11715,87490.93515,73060.63129,68465.95097,,971.4,1273.08,,1414.230048,611.61184,324.3584342,,14430.30386,8534.752555,,11.4,14.6,,134.6588104,58.5760308,5014.863437,661.4530307,,0,0,,,0,,,0,,,0,,,0,,,0,,,789.182,524.851,0,524.851,0,,,,,,,264.331,,,,13434.91108,1317.441561,405.1223145,145.5231842,766.7960618,0.8504276,861.648475,0,861.648475,11254.97062,4518.925083,6736.045538,,117998.4615
1993,16892.6114,2974.337042,88.49573755,63.42128188,8.212379427,16.86207625,113.7255308,2.39561,1.371272,10.92360637,2.0069,3.897936,,0.109116,,7.099999844,,0.441672,,85.47941858,366.6378956,0.857385936,360.4377499,2.6422718,2.700488,,2405.477878,7.39433702,2378.288101,19.79544,13918.27436,2452.420961,2452.420961,2352.348949,100.072012,,11465.85339,9176.254464,5828.892195,3287.899057,59.46321239,2289.59893,981.6013512,1.318943731,1306.678635,246.0200438,0,,,,,,246.0200438,,,,,,,,246.0200438,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,86022.95808,85356.07608,69682.07824,64961.9084,,1005.98,1350.2,,1364.583528,585.94396,413.4623537,,15673.99784,7901.436022,,11.78,15.5,,129.9782576,56.1558228,6622.866141,936.281597,,0,0,,,0,,,0,,,0,,,0,,,0,,,666.882,502.667,0,502.667,0,,,,,,,164.215,,,,15113.7656,2007.913819,660.7213574,274.7079091,1072.484553,1.0153393,893.2065947,3.22E-05,893.2065625,12211.62985,4500.525077,7711.104774,,118275.3551
1994,16871.5219,2989.376037,102.2819569,75.80424436,9.681911988,16.79580051,102.2198017,2.442496168,1.375188248,11.12355784,2.0385589,3.47334386,,0.10152618,,7.286178088,,0.441336,,73.93761642,376.3644716,0.997286119,367.0717767,2.9751848,5.320224,,2408.509807,8.06878884,2381.724796,18.71622228,13882.14586,2625.914146,2625.914146,2518.762676,107.1514704,,11256.23172,8921.316238,5677.350038,3183.437402,60.52879818,2334.915478,963.085675,1.281209508,1370.548594,248.2220282,0,,,,,,248.2220282,,,,,,,,248.2220282,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,90333.78354,89590.70242,73436.55997,68791.66935,,1013.29,1334.78,,1314.936504,560.27328,421.6108385,,16154.14244,8325.903796,,11.91,15.32,,125.2201969,53.7186636,6712.928543,909.1412448,,0,0,,,0,,,0,,,0,,,0,,,0,,,743.0811192,498.4811192,0,498.4811192,0,,,,,,,244.6,,,,16572.65358,2630.357824,890.7869814,390.9090139,1348.661829,96.3043551,925.987245,0.000145266,925.9870997,12920.00415,4513.064175,8406.939976,,124026.181
1995,18489.59557,2989.528153,91.19585432,67.9672301,9.113255559,14.11536866,110.2727641,2.416008,1.394484,10.59865716,1.472912,3.69782,,0.076776,,6.228065648,,0.337428,,84.05061325,367.6097817,0.944920891,359.3147278,2.624377,4.725756,,2420.449752,8.60123754,2392.559035,19.28948,15500.06742,2695.50339,2695.50339,2585.512303,109.9910872,,12804.56403,10303.80539,5480.210578,4765.712691,57.88212094,2500.758636,1027.931375,1.878973987,1470.948287,257.7853916,0,,,,,,257.7853916,,,,,,,,257.7853916,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,90011.83798,88525.22217,72449.08309,67945.43897,,977.57,1318.35,,1265.290992,534.6054,407.8277235,,16076.13908,8391.329258,,11.45,15.13,,121.2604098,51.5219796,6455.058645,1030.38879,,0,0,,,0,,,0,,,0,,,0,,,0,,,1486.615807,1262.925807,691.71,522.2858068,48.93,,,,,,,223.69,,,,18279.23757,3341.302901,1133.172297,587.5789702,1620.551634,96.5854744,960.0277323,0.000145266,960.027587,13881.32147,4753.535816,9127.78565,,127038.4565
1996,24314.06592,3006.832371,106.8749846,85.01863224,8.973335938,12.88301647,97.63317007,3.731691656,1.849022112,11.59368736,2.066386252,4.129814164,,0.1219498,,6.845899284,,0.405972,,66.88874744,371.1374596,0.861820535,362.6318729,2.8109942,4.832772,,2431.186756,8.91297078,2401.647306,20.62648,21307.23355,3298.770151,3298.770151,3164.162524,134.6076272,,18008.4634,15288.30526,6124.780786,9103.078723,60.44575539,2720.158137,1092.747392,3.52835501,1623.88239,254.8617772,0,,,,,,254.8617772,,,,,,,,254.8617772,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,87078.42668,85640.54471,70009.28566,65686.45487,,968.07,1244.66,,1215.643968,508.9364,385.5204219,,15631.25905,8292.037433,,11.3,14.28,,117.0057596,49.0905828,6104.268723,1043.276556,,0,0,,,0,,,0,,,0,,,0,,,0,,,1437.881969,1196.841969,598.65,548.9619688,49.23,,,,,,,241.04,,,,19607.24282,4098.972644,1466.201905,759.7484899,1873.022249,97.1199735,996.8351878,0.000145266,996.8350426,14414.31501,4505.683689,9908.631322,,131254.5972
1997,29098.5576,3042.84612,115.1876903,94.64715515,8.589833742,11.9507014,104.909597,3.932081552,1.802897684,11.42850377,1.899397276,4.163323612,,0.141854244,,7.125046936,,0.412188,,74.00430397,382.896295,0.901498768,373.5827101,3.2339622,5.178124,,2439.852538,9.23671042,2408.552527,22.0633,26055.71148,3049.208723,3049.208723,2924.784549,124.4241739,,23006.50275,20075.88275,6829.915117,13185.02977,60.93786368,2930.620001,1147.189459,5.07889537,1778.351647,247.0034571,0,,,,,,247.0034571,,,,,,,,247.0034571,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,87649.85428,86574.46724,70935.92745,66778.64797,,975.42,1160.96,,1165.998456,483.26796,371.6330666,,15638.53979,8555.873611,,11.48,13.31,,112.2125707,46.6421592,5764.470359,1134.551089,,0,0,,,0,,,0,,,0,,,0,,,0,,,1075.387041,758.4070411,196.45,536.1770411,25.78,,,,,,,316.98,,,,21369.70352,4888.062793,1859.287579,927.0839662,2101.691247,97.6350544,1035.113666,0.000145266,1035.113521,15348.89201,4594.895648,10753.99636,,138365.1189
1998,30985.0525,3081.043433,131.9207359,106.5616219,8.933298633,16.42581537,103.3356513,3.432312744,1.917294568,11.04030897,2.095115568,4.681957924,,0.151551792,,7.908167204,,0.431172,,71.67777056,394.0361696,0.969101485,383.8229675,2.7008366,6.543264,,2451.750876,10.03996336,2419.854672,21.85624,27904.00907,2972.900517,2972.900517,2851.59013,121.3103872,,24931.10855,21640.94354,7146.65188,14432.21867,62.07299342,3290.165015,1219.450204,5.55471748,2065.160093,240.5497213,0,,,,,,240.5497213,,,,,,,,240.5497213,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,89466.04858,86849.69096,71636.08681,67641.68295,,908.05,1176.13,,1116.350424,457.597,336.2764383,,15213.60416,8827.034631,,10.7,13.49,,107.4191521,44.1935172,5108.352094,1102.414761,,0,0,,,0,,,0,,,0,,,0,,,0,,,2616.357613,2339.557613,1579.93,564.6276129,195,,,,,,,276.8,,,,22640.13548,5681.093942,2291.731497,1078.599395,2310.763051,98.0884585,1074.924715,0.000145266,1074.92457,15786.02836,4604.450669,11181.57769,,143331.7863
1999,27077.32433,3100.749568,142.293441,119.226977,10.14834363,12.91812036,82.51627233,3.320647596,1.908806088,10.41953492,2.101868468,4.146820412,,0.21839314,,7.592509036,,0.470484,,52.33720867,417.0474733,1.060159302,403.6480164,2.5410616,9.798236,,2458.892381,9.91870796,2425.493713,23.47996,23976.57476,3192.226618,3192.226618,3061.966542,130.2600759,,20784.34814,17191.61629,6739.575391,10393.65579,58.38511416,3592.731845,1335.283923,4.0186814,2253.429241,221.2401012,0,,,,,,221.2401012,,,,,,,,221.2401012,,,0,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,86288.77178,85024.10941,69715.84754,65734.40951,,960.75,1179.84,,1066.704408,431.92996,342.2136588,,15308.26187,8789.850659,,11.16,13.54,,102.625948,41.7452448,5182.280446,1167.059568,,0,0,,,0,,,0,,,0,,,0,,,0,,,1264.66237,1044.74237,459.72,536.73237,48.29,,,,,,,219.92,,,,22899.44266,6538.942567,2812.293465,1213.386376,2513.262727,98.7108443,1085.155286,0.000145266,1085.15514,15176.63396,4613.552715,10563.08125,,136486.7789
