Year,[1] Energía,[1A] Actividades de quema del combustible,[1A1] Industrias de la energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1b] Refinación del petróleo,[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,[1A2] Industrias manufactura y de la construcción,[1A2a] Hierro y acero,[1A2b] Metales no ferrosos,[1A2c] Sustancias químicas,"[1A2d] Pulpa, papel e imprenta","[1A2e] Procesamiento de alimentos, bebidas y tabaco",[1A2f] Minerales no metálicos,[1A2g] Equipo de transporte,[1A2h] Maquinaria,[1A2i] Minería (con excepción de combustibles) y cantería,[1A2j] Madera y productos de la madera,[1A2k] Construcción,[1A2l] Textiles y cueros,[1A2m] Industria no especificada,[1A3] Transporte,[1A3a] Aviación civil,[1A3b] Autotransporte,[1A3c] Ferrocarriles,[1A3d] Navegación marítima y fluvial,[1A3e] Otro transporte,[1A4] Otros sectores,[1A4a] Comercial/institucional,[1A4b] Residencial,[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B1] Combustibles sólidos,[1B1a] Minería carbonífera y manejo del carbón,[1B1ai] Minas subterráneas,[1B1aii] Minas superficie,[1B1b] Combustión espontánea y vertederos para quema de carbón,[1B2] Petróleo y gas natural,[1B2a] Petróleo,1B2ai Venteo petróleo,1B2aii Quemado petróleo,1B2aiii Otras fugitivas petróleo,[1B2b] Gas natural,1B2bi Venteo gas natural,1B2bii Quemado gas natural,1B2biii Otras fugitivas gas natural,[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A1] Producción de cemento,[2A2] Producción de cal,[2A3] Producción de vidrio,[2A4] Otros usos de carbonatos,[2A5] Otros,[2B] Industria química,[2B1] Producción de amoniaco,[2B2] Producción de ácido nítrico,[2B3] Producción de ácido adípico,"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",[2B5] Producción de carburo,[2B6] Producción de dióxido de titanio,[2B7] Producción de ceniza de sosa,[2B8] Producción petroquímica y negro de humo,[2B9] Producción fluoroquímica,[2B10] Otros,[2C] Industria de los metales,[2C1] Producción de hierro y acero,[2C2] Producción de ferroaleaciones,[2C3] Producción de aluminio,[2C4] Producción de magnesio,[2C5] Producción de plomo,[2C6] Producción de zinc,[2C7] Otros,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D1] Uso de lubricantes,[2D2] Uso de la cera de parafina,[2D3] Uso de solventes,[2D4] Otros,[2E] Industria electrónica,[2E1] Circuitos integrados o semiconductores,[2E2] Pantalla plana tipo TFT,[2E3] Células fotovoltaicas,[2E4] Fluido de transferencia térmica,[2E5] Otros,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,[2F1] Refrigeración y aire acondicionado,[2F2] Agentes espumantes,[2F3] Protección contra incendios,[2F4] Aerosoles,[2F5] Solventes,[2F6] Otras aplicaciones,[2G] Manufactura y utilización de otros productos,[2G1] Equipos eléctricos,[2G2] SF6 y PFC de otros usos de productos,[2G3] N2O de usos de productos,[2G4] Otros,[2H] Otros,[2H1] Industria de la pulpa y el papel,[2H2] Industria de la alimentación y las bebidas,[2H3] Otros,"[3] Agricultura, silvicultura y otros usos de la tierra", [3A] Ganado,[3A1] Fermentación entérica,[3A1a] Bovino,[3A1b] Búfalos,[3A1c] Ovinos,[3A1d] Caprino,[3A1e] Camello,[3A1f] Caballos,[3A1g] Mulas y asnos,[3A1h] Porcinos,[3A1i] Otros  (especificar),[3A2] Gestión del estiércol,[3A2a] Bovinos,[3A2b] Búfalos,[3A2c] Ovinos,[3A2d] Caprino,[3A2e] Camello,[3A2f] Caballos,[3A2g] Mulas y asnos,[3A2h] Porcinos,[3A2i] Aves de corral,[3A2g] Otros  (especificar),[3B] Tierra,[3B1] Tierra forestales,[3B1a] Tierras forestales que permanecen como tal,[3B1b] Tierras convertidas a tierras forestales,[3B2] Tierra de cultivo,[3B2a] Tierras de cultivo que permanecen como tal,[3B2b] Tierras convertidas a tierras de cultivo,[3B3] Praderas,[3B3a] Praderas que permanecen como tal,[3B3b] Tierras convertidas en praderas,[3B4] Humedales,[3B4a] Humedales que permanecen como tal,[3B4b] Tierras convertidas en humedales,[3B5] Asentamientos ,[3B5a] Asentamientos que permanecen como tal,[3B5b] Tierras convertidas en asentamientos,[3B6] Otras tierras ,[3B6a] Otras tierras que permanecen como tal,[3B6b] Tierras convertidas en otras tierras,[3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,[3C1] Emisiones de GEI por quemado de biomasa,[3C1a] Emisiones de quemado de biomasa en tierras forestales,[3C1b] Emisiones de quemado de biomasa en tierras de cultivo,[3C1c] Emisiones de quemado de biomasa en tierras praderas,[3C1d] Emisiones de quemado de biomasa en otras tierras,[3C2] Encalado,[3C3] Aplicación de urea,[3C4] Emisiones directas de los N2O de los suelos gestionados,[3C5] Emisiones indirectas de los N2O de los suelos gestionados,[3C6] Emisiones indirectas de los N2O de la gestión del estiércol,[3C7] Cultivo del arroz,[3D] Otros,[3D1] Productos de madera recolectada,[3D2] Otros (especificar),[4] Residuos,[4A] Eliminación de residuos sólidos,[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),[4A2] Sitios no controlados de eliminación de residuos ,[4A3] Tiraderos a cielo abierto para eliminación de residuos,[4B] Tratamiento biológico de los residuos sólidos,[4C] Incineración y quema a cielo abierto  de residuos,[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,[4C2] Quema a cielo abierto de residuos sólidos,[4D] Tratamiento y eliminación de aguas residuales,[4D1] Tratamiento y eliminación de aguas residuales municipales,[4D2] Tratamiento y eliminación de aguas residuales industriales,[4E] Otros,Total
1990,287887.5409,277455.8446,107765.1217,70302.75058,11550.92475,25911.44641,50586.16156,5050.957286,2105.775916,16715.48095,3347.000435,4031.010051,,198.3952638,,6605.825207,,341.8886636,,12189.82779,91445.71116,3286.154435,84230.61352,1941.40017,1987.543032,,27658.85012,3859.669155,18832.14376,4967.037204,10431.69635,68.2919277,68.2919277,65.03813316,3.253794544,,10363.40443,8656.314317,5699.198116,2917.364192,39.7520086,1707.090108,1651.767429,53.27112495,2.051554438,30144.81892,13145.80609,10439.15964,2168.48499,372.0990349,166.0624263,,5496.645512,3154.854426,,,,,87.82896,60.72,2193.242125, ,,11211.41401,10661.3991,341.1867,104.2336,,104.59461,,,290.9533082,235.8750874,55.07822074,,,,,,,,,0,,,,,,,0,,,,,0,0,,,1564.992722,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,871.88,0,,,,,30.9,840.98,,,,,693.1127216,693.1127216,,402.4928925,,,,,,402.4928925,0,402.4928925,,,,,319999.8455
1991,298614.7865,287735.6752,110513.6711,72650.04122,9051.369637,28812.2602,50757.27449,4832.707613,2062.500488,18041.70388,2964.167535,4301.349688,,187.8047903,,6803.282851,,350.630756,,11213.12689,97756.04156,3570.497474,90302.12589,1625.009276,2258.408918,,28708.68807,4860.362292,18730.65624,5117.669529,10879.11133,64.19850546,64.19850546,61.13974356,3.058761904,,10814.91283,9135.451078,6098.17293,2995.429009,41.84913911,1679.461751,1622.934833,54.55557661,1.971341567,28803.82609,13446.75763,10649.13078,2202.429601,386.447752,208.7494992,,5475.066313,3238.990941,,,,,93.26534,60.72,2082.090032, ,,9575.46117,9119.07653,285.3627,76.3824,,94.63954,,,306.540974,253.2681788,53.27279518,,,0,,,,,,0,,,,,,,0,,,,,0,0,,,1880.543925,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,833.75,0,,,,,31.3,802.45,,,,,1046.793925,1046.793925,,417.1964259,,,,,,417.1964259,0,417.1964259,,,,,329716.3529
1992,299915.8933,289066.7711,109466.4754,71170.89912,9276.249502,29019.32677,50462.94825,3944.450779,2052.797629,17061.24791,2625.40766,4452.513401,,169.6701968,,7254.893342,,376.4199286,,12525.5474,98415.05249,4084.845433,91445.57825,1638.340967,1246.287841,,30722.29493,5564.149642,20013.07113,5145.074153,10849.12219,59.35462248,59.35462248,56.5266492,2.82797328,,10789.76756,9176.524195,6103.665787,3030.335283,42.52312483,1613.243369,1556.186651,55.18181069,1.874907059,30487.39587,14474.18223,11424.57816,2236.374213,400.7964691,412.4333805,,5630.452853,3209.466813,,,,,95.94668,60.72,2264.31936, ,,10073.06981,9651.08874,252.6473,67.5216,,101.81217,,,309.6909805,257.6788256,52.01215488,,,0,,,,,,0,,,,,,,0,,,,,0,0,,,2213.993017,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,973.58,0,,,,,31.7,941.88,,,,,1240.413017,1240.413017,,432.4296044,,,,,,432.4296044,0,432.4296044,,,,,333049.7117
1993,301303.624,289141.7224,107960.0611,73045.09756,8940.025322,25974.93819,51635.29664,3238.196589,1903.219053,17207.00695,2364.019143,3886.712983,,203.5072789,,7016.906469,,383.0493487,,15432.67883,100679.8936,4446.907918,93561.03936,1656.553659,1015.392661,,28866.47105,3299.00992,20388.92052,5178.540615,12161.90164,69.72462549,69.72462549,66.40256952,3.322055968,,12092.17702,10203.95025,6324.626588,3837.850236,41.47342834,1888.226763,1815.872565,70.65832186,1.695875327,31086.03054,15504.66815,12043.62434,2277.463916,415.1451861,768.434702,,4720.361993,2561.900977,,,,,109.344,60.72,1988.397016, ,,10601.88647,10210.74088,242.68,41.2384,,107.22719,,,259.1139302,211.9356419,47.17828834,,,0,,,,,,0,,,,,,,0,,,,,0,0,,,5237.173294,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,921.53,0,,,,,32.3,889.23,,,,,4315.643294,4315.643294,,448.2792452,,,,,,448.2792452,0.015830751,448.2634144,,,,,338075.1071
1994,321255.0435,309009.1643,123920.9638,87788.81372,10374.37495,25757.77514,52223.80871,3137.963323,1874.18083,17614.87151,2367.082648,3485.27869,,186.8473966,,7174.689692,,382.7579456,,16000.13667,105485.3872,5172.502538,96459.05183,1865.271115,1988.561694,,27379.00464,3563.51687,18920.29354,4895.194233,12245.87914,74.65719929,74.65719929,71.10012899,3.557070299,,12171.22194,10252.83754,6474.431595,3738.51364,39.89230741,1918.3844,1848.005874,68.63748789,1.741038397,34158.62431,17446.54512,13526.42203,2318.597405,431.5843324,1169.941347,,5200.48066,2957.937215,,,,,131.0319,60.72,2050.791545, ,,11249.01211,10899.23667,253.1122,0,,96.66324,,,262.5864198,216.7007943,45.88562554,,,0,,,,,,0,,,,,,,0,,,,,0,0,,,4974.894086,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,1099.71,0,,,,,32.9,1066.81,,,,,3875.184086,3875.184086,,464.785843,,,,,,464.785843,0.0713361,464.7145069,,,,,360853.3477
1995,309168.3723,295586.9869,114171.984,81733.78736,9852.871403,22585.32521,51094.66495,2994.389626,1919.588575,17146.53772,1766.539542,3669.656215,,146.4183587,,6142.708654,,292.6415431,,17016.18471,100355.9753,4900.659218,92044.25037,1645.33464,1765.731044,,29964.3627,3858.341624,21058.27756,5047.743521,13581.38544,76.6356867,76.6356867,72.98435063,3.651336075,,13504.74975,11547.05962,6122.572372,5386.155226,38.33202383,1957.690133,1855.348661,100.6651464,1.676325444,33696.35019,15204.82291,10795.84009,2282.149821,455.0996767,1671.733325,,5192.704101,2903.028772,,,,,115.91,40.02,2133.745329, ,,13030.99999,12658.9909,249.3011,16.6608,,106.04719,,,267.8231848,212.9239424,54.89924233,,,0,,,,,,0,,,,,,,0,,,,,0,0,,,4150.053155,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,942.41,0,,,,,31.8,910.61,,,,,3207.643155,3207.643155,,481.869683,,,,,,481.869683,0.0713361,481.7983469,,,,,347496.6454
1996,322696.3935,304236.2649,117435.5156,86867.56196,9797.864023,20770.08957,53986.48713,5394.249584,2707.168828,18700.7188,2541.918921,4186.985605,,236.0395802,,6872.879728,,352.0877714,,12994.43831,101590.2088,4469.913858,93550.59995,1762.332977,1807.36203,,31224.05335,3995.660941,21832.38583,5396.006579,18460.12861,93.78712589,93.78712589,89.31860305,4.468522837,,18366.34148,16193.81701,6190.342736,9960.310455,43.16381766,2172.524471,1981.759117,189.0311316,1.734222839,36719.52091,17321.68984,12051.64483,2364.688751,465.2716638,2440.084595,,5298.13761,2996.072685,,,,,115.23732,40.02,2146.807605, ,,13825.88452,13317.41607,311.6018,98.2688,,98.59785,,,273.8089411,214.498391,59.31055009,,,0,,,,,,0,,,,,,,0,,,,,0,0,,,-362.9845206,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,782.06,0,,,,,32.7,749.36,,,,,-1145.044521,-1145.044521,,500.3414501,,,,,,500.3414501,0.0713361,500.270114,,,,,359553.2713
1997,339872.6157,317140.51,126402.229,96440.94705,9867.119623,20094.16235,53787.52312,5739.148112,2678.382541,18145.72469,2371.074975,4257.878402,,275.4163941,,7229.079899,,357.4787284,,12733.33937,105645.493,4675.721489,97006.48384,2027.50978,1935.777883,,31305.26491,4137.178519,21398.40771,5769.678684,22732.10571,86.69186067,86.69186067,82.56139441,4.130466261,,22645.41385,20360.14193,6055.046844,14255.88755,49.20753258,2285.271922,2011.204094,272.1020877,1.965739739,40151.41896,20113.59442,12689.3675,2458.703657,470.0451059,4495.478155,,4859.830823,2552.915793,,,,,136.80462,40.02,2130.09041, ,,14885.3296,14337.23839,335.5157,106.1696,,106.40591,,,232.3477083,180.1269777,52.22073067,,,0,,,,,,0,,,,,,,0,,,,,60.31640597,60.31640597,,,-5226.35058,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,960.74,0,,,,,34.2,926.54,,,,,-6187.09058,-6187.09058,,519.5520387,,,,,,519.5520387,0.0713361,519.4807026,,,,,375317.2362
1998,360117.9344,335765.794,140632.9102,105871.4439,10384.29466,24377.17163,53914.15733,4709.019642,2835.518736,17398.89129,2581.939161,4770.931361,,294.0091059,,8069.285868,,373.9430024,,12880.61917,108862.8733,5026.36332,99693.74694,1693.270447,2449.492637,,32355.85314,4419.091436,22214.16305,5722.598654,24352.1404,84.52234689,84.52234689,80.49524792,4.027098962,,24267.61805,21898.39251,6264.31675,15581.99136,52.08439853,2369.225537,2069.14596,297.6191212,2.460456086,40961.07246,20478.38611,13206.47157,2410.172562,485.6238602,4376.118119,,4435.992166,2180.357631,,,,,149.21034,40.02,2066.404195, ,,15740.00095,15171.02902,359.9593,107.762144,,101.25049,,,229.0505145,173.4359456,55.61456894,,,0,,,,,,0,,,,,,,0,,,,,77.6427079,77.6427079,,,-7674.051524,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,990.545,0,,,,,33.7,956.845,,,,,-8664.596524,-8664.596524,,539.5316025,,,,,,539.5316025,0.0713361,539.4602664,,,,,393944.4869
1999,352617.3575,332949.0626,138687.8642,106336.3241,11587.26568,20764.27441,53367.60898,4773.225478,2960.867965,16468.89919,2689.560757,4347.932312,,442.1565188,,7894.814689,,408.0371628,,13382.1149,110279.0321,5498.659964,99489.79425,1593.100638,3697.4772,,30614.55736,4357.440269,19905.33315,6351.783943,19668.29499,90.75799343,90.75799343,86.43379475,4.324198683,,19577.537,17359.13306,5988.391727,11321.65409,49.08724919,2218.403931,2000.268551,215.327883,2.807497488,44482.92799,23747.3257,13670.97501,2383.156998,445.213615,7247.980074,,3539.983623,1460.563754,,,,,154.55158,40.02,1884.848289, ,,16824.02835,16251.25161,370.9998,124.24976,,77.52718,,,327.3782242,269.4387994,57.93942475,,,0,,,,,,0,,,,,,,0,,,,,44.212094,44.212094,,,-10677.94546,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,1098.85,0,,,,,33.3,1065.55,,,,,-11776.79546,-11776.79546,,544.6669784,,,,,,544.6669784,0.0713361,544.5956423,,,,,386967.007
