Year,[1] Energía,[1A] Actividades de quema del combustible,[1A1] Industrias de la energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1b] Refinación del petróleo,[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,[1A2] Industrias manufactura y de la construcción,[1A2a] Hierro y acero,[1A2b] Metales no ferrosos,[1A2c] Sustancias químicas,"[1A2d] Pulpa, papel e imprenta","[1A2e] Procesamiento de alimentos, bebidas y tabaco",[1A2f] Minerales no metálicos,[1A2g] Equipo de transporte,[1A2h] Maquinaria,[1A2i] Minería (con excepción de combustibles) y cantería,[1A2j] Madera y productos de la madera,[1A2k] Construcción,[1A2l] Textiles y cueros,[1A2m] Industria no especificada,[1A3] Transporte,[1A3a] Aviación civil,[1A3b] Autotransporte,[1A3c] Ferrocarriles,[1A3d] Navegación marítima y fluvial,[1A3e] Otro transporte,[1A4] Otros sectores,[1A4a] Comercial/institucional,[1A4b] Residencial,[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B1] Combustibles sólidos,[1B1a] Minería carbonífera y manejo del carbón,[1B1ai] Minas subterráneas,[1B1aii] Minas superficie,[1B1b] Combustión espontánea y vertederos para quema de carbón,[1B2] Petróleo y gas natural,[1B2a] Petróleo,1B2ai Venteo petróleo,1B2aii Quemado petróleo,1B2aiii Otras fugitivas petróleo,[1B2b] Gas natural,1B2bi Venteo gas natural,1B2bii Quemado gas natural,1B2biii Otras fugitivas gas natural,[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A1] Producción de cemento,[2A2] Producción de cal,[2A3] Producción de vidrio,[2A4] Otros usos de carbonatos,[2A5] Otros,[2B] Industria química,[2B1] Producción de amoniaco,[2B2] Producción de ácido nítrico,[2B3] Producción de ácido adípico,"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",[2B5] Producción de carburo,[2B6] Producción de dióxido de titanio,[2B7] Producción de ceniza de sosa,[2B8] Producción petroquímica y negro de humo,[2B9] Producción fluoroquímica,[2B10] Otros,[2C] Industria de los metales,[2C1] Producción de hierro y acero,[2C2] Producción de ferroaleaciones,[2C3] Producción de aluminio,[2C4] Producción de magnesio,[2C5] Producción de plomo,[2C6] Producción de zinc,[2C7] Otros,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D1] Uso de lubricantes,[2D2] Uso de la cera de parafina,[2D3] Uso de solventes,[2D4] Otros,[2E] Industria electrónica,[2E1] Circuitos integrados o semiconductores,[2E2] Pantalla plana tipo TFT,[2E3] Células fotovoltaicas,[2E4] Fluido de transferencia térmica,[2E5] Otros,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,[2F1] Refrigeración y aire acondicionado,[2F2] Agentes espumantes,[2F3] Protección contra incendios,[2F4] Aerosoles,[2F5] Solventes,[2F6] Otras aplicaciones,[2G] Manufactura y utilización de otros productos,[2G1] Equipos eléctricos,[2G2] SF6 y PFC de otros usos de productos,[2G3] N2O de usos de productos,[2G4] Otros,[2H] Otros,[2H1] Industria de la pulpa y el papel,[2H2] Industria de la alimentación y las bebidas,[2H3] Otros,"[3] Agricultura, silvicultura y otros usos de la tierra", [3A] Ganado,[3A1] Fermentación entérica,[3A1a] Bovino,[3A1b] Búfalos,[3A1c] Ovinos,[3A1d] Caprino,[3A1e] Camello,[3A1f] Caballos,[3A1g] Mulas y asnos,[3A1h] Porcinos,[3A1i] Otros  (especificar),[3A2] Gestión del estiércol,[3A2a] Bovinos,[3A2b] Búfalos,[3A2c] Ovinos,[3A2d] Caprino,[3A2e] Camello,[3A2f] Caballos,[3A2g] Mulas y asnos,[3A2h] Porcinos,[3A2i] Aves de corral,[3A2g] Otros  (especificar),[3B] Tierra,[3B1] Tierra forestales,[3B1a] Tierras forestales que permanecen como tal,[3B1b] Tierras convertidas a tierras forestales,[3B2] Tierra de cultivo,[3B2a] Tierras de cultivo que permanecen como tal,[3B2b] Tierras convertidas a tierras de cultivo,[3B3] Praderas,[3B3a] Praderas que permanecen como tal,[3B3b] Tierras convertidas en praderas,[3B4] Humedales,[3B4a] Humedales que permanecen como tal,[3B4b] Tierras convertidas en humedales,[3B5] Asentamientos ,[3B5a] Asentamientos que permanecen como tal,[3B5b] Tierras convertidas en asentamientos,[3B6] Otras tierras ,[3B6a] Otras tierras que permanecen como tal,[3B6b] Tierras convertidas en otras tierras,[3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,[3C1] Emisiones de GEI por quemado de biomasa,[3C1a] Emisiones de quemado de biomasa en tierras forestales,[3C1b] Emisiones de quemado de biomasa en tierras de cultivo,[3C1c] Emisiones de quemado de biomasa en tierras praderas,[3C1d] Emisiones de quemado de biomasa en otras tierras,[3C2] Encalado,[3C3] Aplicación de urea,[3C4] Emisiones directas de los N2O de los suelos gestionados,[3C5] Emisiones indirectas de los N2O de los suelos gestionados,[3C6] Emisiones indirectas de los N2O de la gestión del estiércol,[3C7] Cultivo del arroz,[3D] Otros,[3D1] Productos de madera recolectada,[3D2] Otros (especificar),[4] Residuos,[4A] Eliminación de residuos sólidos,[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),[4A2] Sitios no controlados de eliminación de residuos ,[4A3] Tiraderos a cielo abierto para eliminación de residuos,[4B] Tratamiento biológico de los residuos sólidos,[4C] Incineración y quema a cielo abierto  de residuos,[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,[4C2] Quema a cielo abierto de residuos sólidos,[4D] Tratamiento y eliminación de aguas residuales,[4D1] Tratamiento y eliminación de aguas residuales municipales,[4D2] Tratamiento y eliminación de aguas residuales industriales,[4E] Otros,Total
1990,2888.179063,2879.060741,187.5399009,139.8502359,20.20382142,27.48584358,141.6406704,5.64817025,2.92057825,13.852345,5.4085175,7.551915728,,0.1260605,,12.3046655,,0.746187,,93.08223071,2231.514508,23.98622508,1992.089272,201.972771,13.46624,,318.3656618,5.6412405,302.0460608,10.6783605,9.118321853,,,,,,9.118321853,9.118321853,9.075150704,,9.075150704,,0.043171149,,0.043171149,872.91,0,,,,,,872.91,,703.575,,169.335,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,,20911.77228,5539.702054,,,,,,,,,,,5539.702054,4962.795707,,23.16,25.19,,,,361.0295625,167.5267846,,0,0,,,0,,,0,,,0,,,0,,,0,,,15372.07022,147.714,0,147.714,0,,,,9502.609,4240.733,1481.014225,,,,,3665.111658,0,,,,0.11448,175.1615042,0,175.1615042,3489.835674,3489.835674,,,28337.973
1991,3024.49172,3015.086937,192.367568,142.699466,15.30140738,34.36669462,150.6564294,5.3226045,2.28695,15.0985075,3.7673195,7.957897,,0.1352295,,12.818845,,0.765267,,102.5038094,2351.049546,26.06168522,2140.343387,169.057174,15.5873,,321.0133934,5.8830795,304.1355964,10.9947175,9.404783366,,,,,,9.404783366,9.36398439,,9.36398439,,0.040798976,,0.040798976,,1018.726515,0,,,,,,1018.726515,,839.7585,,178.968015,,,,,,,0,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,19399.33464,5643.759692,,,,,,,,,,,5643.759692,5075.526854,,24.06,24.26,,,,349.8682963,170.0445417,,0,0,,,0,,,0,,,0,,,0,,,0,,,13755.57495,140.582,0,140.582,0,,,,7941.336,4135.355,1538.301945,,,,,3734.480543,0,,,,0.4761507,181.5512374,0,181.5512374,3552.453155,3552.453155,,,27177.03342
1992,3049.539674,3040.044037,188.2902636,141.2188436,15.373339,31.698081,144.3176861,3.63091075,2.0893925,14.5435445,3.5539945,8.265138,,0.1140825,,13.3302155,,0.821553,,97.96885488,2374.046664,29.8157029,2164.83619,170.444131,8.95064,,333.3894234,6.591716,315.6810634,11.116644,9.495636744,,,,,,9.495636744,9.457823063,,9.457823063,,0.037813681,,0.037813681,,617.144985,0,,,,,,617.144985,,435.978,,181.166985,,,,,,,0,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,20525.25195,5363.413009,,,,,,,,,,,5363.413009,4795.20389,,24.2,23.5,,,,352.9423857,167.5667326,,0,0,,,0,,,0,,,0,,,0,,,0,,,15161.83894,159.236,0,159.236,0,,,,9150.513,4271.698,1580.391939,,,,,3796.194735,0,,,,0.6036517,188.1897081,0,188.1897081,3607.401375,3607.401375,,,27988.13134
1993,3097.75659,3085.95754,188.7653198,150.2850196,14.55131603,23.92898417,157.297449,3.70757525,2.0668145,14.84276146,3.3826985,7.195545,,0.1279155,,13.18538892,,0.836022,,111.9527279,2423.758743,32.45818188,2211.65934,172.338881,7.30234,,316.1360283,1.573800365,303.3792279,11.183,11.79905022,,,,,,11.79905022,11.79327708,,11.79327708,,0.00577314,,0.00577314,,695.182185,0,,,,,,695.182185,,543.78,,151.402185,,,,,,,0,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,18592.72111,4822.216738,,,,,,,,,,,4822.216738,4201.233275,,25.1,25.06,,,,377.1931005,193.6303624,,0,0,,,0,,,0,,,0,,,0,,,0,,,13770.50437,152.075,0,152.075,0,,,,7937.558,4069.303,1611.568375,,,,,3833.35107,0,,,,0.7207096,195.082711,0.000508503,195.0822025,3637.547649,3637.547649,,,26219.01096
1994,3217.366806,3205.826401,222.3422181,181.142773,17.29529313,23.90415193,142.9127591,3.918263659,2.100571949,15.03896457,3.464495388,6.390872368,,0.120732278,,13.58385474,,0.835386,,97.45961813,2524.616903,37.75440306,2278.423464,194.052716,14.38632,,315.9545212,1.789656459,303.5896872,10.5751775,11.54040415,,,,,,11.54040415,11.53105318,,11.53105318,,0.009350969,,0.009350969,,762.63714,0,,,,,,762.63714,,595.296,,167.34114,,,,,,,0,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,20417.48482,5245.275493,,,,,,,,,,,5245.275493,4604.179679,,25.85,24.77,,,,392.3631261,198.1126881,,0,0,,,0,,,0,,,0,,,0,,,0,,,15172.20933,151.4706529,0,151.4706529,0,,,,8639.93,4694.42,1686.388674,,,,,3938.207307,0,,,,68.3588949,202.2439794,0.002291402,202.241688,3667.604433,3667.604433,,,28335.69607
1995,3098.775245,3082.557305,205.7163855,169.9236385,16.20505244,19.58769461,151.1321739,3.968004,2.116608,14.02232997,2.4511175,6.8436515,,0.087291,,11.60760505,,0.638703,,109.3968639,2407.753401,35.77200515,2188.030851,171.171715,12.77883,,317.9553444,1.797797392,305.263344,10.894203,16.21794031,,,,,,16.21794031,16.20580891,,16.20580891,,0.012131395,,0.012131395,,1300.96026,0,,,,,,1300.96026,,1123.0965,,177.86376,,,,,,,0,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,19942.41828,5183.141154,,,,,,,,,,,5183.141154,4538.535247,,24.65,24.47,,,,388.7329269,206.7529795,,0,0,,,0,,,0,,,0,,,0,,,0,,,14759.27713,458.5855996,258.17,158.1255996,42.29,,,,8238.136,4333.134,1729.421529,,,,,3916.839206,0,,,,68.5584394,209.6786463,0.002291402,209.6763549,3638.602121,3638.602121,,,28258.99299
1996,3160.466195,3131.121226,236.7662881,203.0862324,15.87467351,17.80538224,136.1498767,5.479132103,2.674234356,15.38892166,3.391933989,7.56692562,,0.134417275,,12.68458625,,0.768447,,88.06127847,2438.085863,32.6260631,2209.048001,183.343589,13.06821,,320.1191973,1.867298041,306.6004852,11.651414,29.34496963,,,,,,29.34496963,29.33345759,,29.33345759,,0.011512041,,0.011512041,,1592.7507,0,,,,,,1592.7507,,1411.443,,181.3077,,,,,,,0,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,18966.2203,5053.190518,,,,,,,,,,,5053.190518,4421.75692,,24.5,23.1,,,,378.8112324,205.022366,,0,0,,,0,,,0,,,0,,,0,,,0,,,13913.02978,425.8807338,216.95,166.3907338,42.54,,,,7667.206,4148.049,1671.894045,,,,,3909.67425,0,,,,68.9378383,217.7176372,0.002291402,217.7153458,3623.018774,3623.018774,,,27629.11144
1997,3306.356742,3264.715574,251.8660074,221.176588,14.78270108,15.90671837,146.0944938,5.726662826,2.57516938,15.4188642,3.088962351,7.596493419,,0.15532241,,13.19245493,,0.780213,,97.56035126,2545.248667,34.12816764,2286.18728,210.931149,14.00207,,321.5064065,1.94203933,307.0966737,12.4676935,41.64116775,,,,,,41.64116775,41.62289125,,41.62289125,,0.018276499,,0.018276499,,1282.24755,0,,,,,,1282.24755,,1090.899,,191.34855,,,,,,,0,,,,,,,,0,,,,,0,,,,,,0,,,,,,,0,,,,,0,,,,21333.99853,5146.537901,,,,,,,,,,,5146.537901,4507.417413,,25.02,21.54,,,,380.1275752,212.4329121,,0,0,,,0,,,0,,,0,,,0,,,0,,,16187.46063,256.1353089,71.2,162.6653089,22.27,,,,9337.154,4909.461,1684.710324,,,,,4012.627589,0,,,,69.3034538,226.0779094,0.002291402,226.075618,3717.246226,3717.246226,,,29935.23041
1998,3372.793291,3327.286193,281.4483955,242.0737574,15.26986656,24.10477154,144.0531203,5.253031347,2.749263859,15.00718707,3.435183234,8.55822225,,0.166249446,,14.64835484,,0.816147,,93.41948124,2578.596564,36.68741337,2348.056933,176.158697,17.69352,,323.1881132,2.264955636,308.5786095,12.344548,45.50709891,,,,,,45.50709891,45.45257142,,45.45257142,,0.054527487,,0.054527487,,1188.319313,0,,,,,,1188.314325,,992.16,,196.154325,,,,,,,0,,,,,,,,0,,,,,0.004988327,0.004988327,0,,,,0,,,,,,,0,,,,,0,,,,21436.37857,5226.208378,,,,,,,,,,,5226.208378,4586.26021,,23.4,21.82,,,,378.7785276,215.9496402,,0,0,,,0,,,0,,,0,,,0,,,0,,,16210.17019,935.6769648,596.27,170.9069648,168.5,,,,8914.51,4573.341,1786.642226,,,,,4059.289778,0,,,,69.6252897,234.7729049,0.002291402,234.7706135,3754.891583,3754.891583,,,30056.78095
1999,3305.395792,3272.1782,293.3890414,257.9731853,17.52423387,17.89162223,116.6812971,4.900659761,2.635177119,14.12975858,3.362630872,7.478796319,,0.231418008,,14.01274023,,0.890559,,69.03955724,2537.998194,40.13460216,2305.63079,165.737572,26.49523,,324.109668,2.251543721,308.9738773,12.884247,33.217592,,,,,,33.217592,33.14707022,,33.14707022,,0.070521785,,0.070521785,,1020.815981,0,,,,,,1020.791925,,824.4945,,196.297425,,,,,,,0,,,,,,,,0,,,,,0.024056282,0.024056282,0,,,,0,,,,,,,0,,,,,0,,,,23102.00184,5092.630498,,,,,,,,,,,5092.630498,4414.266301,,23.88,21.89,,,,399.441955,233.152242,,0,0,,,0,,,0,,,0,,,0,,,0,,,18009.37134,382.1222005,178.04,162.3522005,41.73,,,,10682.726,5090.483,1854.040144,,,,,4082.813895,0,,,,70.0670725,237.0073289,0.002291402,237.0050375,3775.739494,3775.739494,,,31511.02751
