1,CONTAMINANTE,Fecha,HORA,CB,CE,MT,OX,SC,SM
2,CO,01/01/2019,1,1.87,1.39,3.99,2.6,7.75,2.67
3,CO,01/01/2019,2,2.36,1.6,4.13,1.7,7.81,2.79
4,CO,01/01/2019,3,2.88,2.34,5.18,2.2,8.76,3.12
5,CO,01/01/2019,4,2.84,2.73,4.71,2,6.37,3.8
6,CO,01/01/2019,5,2.37,2.9,3.33,2.5,7.72,3.23
7,CO,01/01/2019,6,2.5,2.61,2.04,2.9,7.2,2.47
8,CO,01/01/2019,7,2.13,1.84,1.84,3.9,3.56,2.37
9,CO,01/01/2019,8,1.95,1.39,1.88,2.5,3.9,1.97
10,CO,01/01/2019,9,1.17,0.94,1.29,1.9,4.89,1.8
11,CO,01/01/2019,10,1.52,1.22,1.42,0.9,2.2,1.45
12,CO,01/01/2019,11,1.15,0.6,1.41,1.4,1.01,1.42
13,CO,01/01/2019,12,0.78,0.24,0.78,1.1,0.98,0.65
14,CO,01/01/2019,13,0.62, ,0.42,0.9,0.97,0.54
15,CO,01/01/2019,14,0.59, ,0.34,0.8,0.72,0.51
16,CO,01/01/2019,15,0.48, ,0.33,0.7,0.8,0.59
17,CO,01/01/2019,16,0.48, ,0.33,0.6,0.79,0.67
18,CO,01/01/2019,17,0.47, ,0.33,0.5,0.86,0.65
19,CO,01/01/2019,18,0.56, ,0.38,0.5,0.86,0.69
20,CO,01/01/2019,19,1.01,0.18,0.52,0.4,1.36,0.92
21,CO,01/01/2019,20,0.73,0.09,0.58,0.6,1.21,0.89
22,CO,01/01/2019,21,0.75,0.06,0.51,1,2.18,1.06
23,CO,01/01/2019,22,1.29,0.8,1.42,0.8,1.81,1.12
24,CO,01/01/2019,23,1.35,1.01,1.9,0.7,1.78,1.62
25,CO,01/01/2019,24,1.38,1.35,2.01,1.2,2.18,1.75
26,CO,02/01/2019,1,1.22,0.74,1.57,1.2,1.9,1.23
27,CO,02/01/2019,2,0.68,0.23,0.9,1.5,2.05,1.03
28,CO,02/01/2019,3,0.68,0.25,1.01,0.9,1.87,0.99
29,CO,02/01/2019,4,0.59,0.4,1.04,0.4,1.64,0.99
